Are you self-employed?,Is your employer primarily a tech company/organization?,Do you have previous employers?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,How many employees does your company or organization have?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?.1,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,Cluster
0,1.0,1,1,32,26-100,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,Unknown,No,I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Sometimes,Often,I identify as female.,Canada,Unknown,Canada,Unknown,Front-end Developer,Always,0
0,1.0,1,0,34,500-1000,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Unknown,No,Unknown,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,No,Not applicable to me,Not applicable to me,Male,United Kingdom,Unknown,United Kingdom,Unknown,Back-end Developer,Never,0
0,1.0,1,0,26,6-25,No,Unknown,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,It might affect their opinion of me.,No,I feel it would definitely affect my chances at being accepted.,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,Maybe,No,No,Not applicable to me,Not applicable to me,Male,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes,0
0,1.0,1,0,25,26-100,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,depends on the illness,Maybe,Unknown,Maybe,"No, I don't think they would",Neutral,No,I don't know,Maybe,No,No,Not applicable to me,Not applicable to me,male,Germany,Unknown,Germany,Unknown,Back-end Developer,Sometimes,0
0,1.0,1,1,33,1-5,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage.",No,I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,No,Yes,Sometimes,Often,Male,Canada,Unknown,Canada,Unknown,Back-end Developer,Sometimes,0
0,1.0,1,1,35,100-500,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Unknown,No,Unknown,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,Sometimes,Often,male,Germany,Unknown,Germany,Unknown,Back-end Developer,Never,0
0,1.0,1,1,32,6-25,Not eligible for coverage / N/A,Unknown,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,I wouldn't want to be judged against someone healthy,No,See above,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Sometimes,Often,Bigender,United Kingdom,Unknown,United Kingdom,Unknown,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never,0
0,1.0,1,1,30,100-500,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",I don't know,"Yes, they all did",None of them,No,Seems unnecessary,No,Seems unnecessary. It's asinine to bring up unnecessary conversation ever. ,"No, I don't think it would","No, they do not",Very open,No,No,Yes,Yes,Yes,Often,Sometimes,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead|Back-end Developer,Sometimes,0
0,1.0,1,0,36,26-100,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,It's good to be upfront about everything.,Yes,It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,Yes,No,Not applicable to me,Sometimes,Male,United Kingdom,Unknown,United Kingdom,Unknown,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer,Sometimes,1
0,1.0,1,0,33,100-500,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,I don't think is the place nor the time for this,No,same as before,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Germany,Unknown,Germany,Unknown,Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead,Never,0
0,1.0,1,1,44,26-100,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,"These days I'm more comfortable expressing anything that could be a factor in getting work done. It helps me screen employers: if anything is an insurmountable problem for them, then it is clearly not a place I want to work.",Yes,"Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.",Maybe,Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Sometimes,Often,Male,United States of America,Washington,United States of America,Washington,Back-end Developer,Always,1
0,1.0,1,0,29,100-500,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,Unknown,Maybe,Unknown,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",No,No,Maybe,No,Never,Sometimes,male,United Kingdom,Unknown,United Kingdom,Unknown,Front-end Developer,Never,0
0,1.0,1,1,29,100-500,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Unknown,Maybe,Unknown,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Maybe,Yes,Rarely,Sometimes,male,United Kingdom,Unknown,United Kingdom,Unknown,Back-end Developer,Sometimes,0
0,1.0,1,0,44,More than 1000,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,The employer needs to know that I would need support in order to do my best work for them,Yes,Because my employer needs to support me in order to get the best work possible from me,Maybe,Maybe,Very open,"Yes, I observed",I don't know,No,No,No,Not applicable to me,Not applicable to me,Male,Canada,Unknown,Canada,Unknown,Support|Other,Always,1
0,1.0,1,1,40,100-500,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.",Maybe,"For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.","No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,No,Rarely,Sometimes,male,United States of America,Minnesota,United States of America,Minnesota,Other,Always,1
0,1.0,1,1,46,More than 1000,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",None did,None of them,Maybe,Depends on the social perception of the issue.,No,Too easy to map mental health to ability to do the job.,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,No,Often,Often,Female assigned at birth ,Netherlands,Unknown,Netherlands,Unknown,Supervisor/Team Lead|Other,Never,1
0,1.0,1,1,33,6-25,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,Seems like it would deter them from hiring me.,No,Seems like it would deter them from hiring me.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Sometimes,Often,male,United States of America,Kentucky,United States of America,Kentucky,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes,0
0,1.0,1,0,45,6-25,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. ",Maybe,"There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. ",Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,Not applicable to me,Sometimes,Male,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,1
0,1.0,1,1,37,6-25,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,None of their business,No,Not related to my qualifications or skills,Maybe,Maybe,Somewhat open,No,No,Maybe,Yes,Yes,Often,Often,F,United States of America,California,United States of America,California,Supervisor/Team Lead,Always,1
0,1.0,1,1,37,26-100,No,Unknown,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Unknown,No,Unknown,"Yes, it has",Maybe,Neutral,Maybe/Not sure,I don't know,Yes,Yes,Yes,Sometimes,Often,M,Australia,Unknown,Australia,Unknown,Executive Leadership,Never,1
0,1.0,1,0,27,6-25,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Unknown,Yes,Unknown,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,Not applicable to me,Not applicable to me,Male,United States of America,California,United States of America,California,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes,0
0,1.0,1,1,36,More than 1000,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.",No,"I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.",Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Never,Sometimes,Male,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes,1
0,1.0,1,0,41,More than 1000,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,"if the physical issue is obvious at work, it's better not to try to hide.",Maybe,"same thing: If it has impact or if it's visible at work, why trying to hide.","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,No,Maybe,No,Sometimes,Sometimes,man,France,Unknown,France,Unknown,Back-end Developer,Sometimes,1
0,1.0,1,0,30,26-100,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Unknown,Maybe,Unknown,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,Not applicable to me,Not applicable to me,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Sometimes,0
0,1.0,1,1,29,More than 1000,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,"No, none did","Yes, I was aware of all of them",Some did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Unknown,No,Interviews are largely about knowledge / mental capacity. Could be seen as a weaker mental capacity.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Often,Often,M,United States of America,Texas,United States of America,Texas,Back-end Developer,Always,0
0,1.0,1,0,28,100-500,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Unknown,No,Unknown,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Maybe,No,No,Not applicable to me,Not applicable to me,Male,United States of America,New York,United States of America,New York,Front-end Developer,Never,0
0,1.0,1,1,40,1-5,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Honesty works.,Yes,Again: honesty.,Maybe,"No, I don't think they would",Very open,No,No,Yes,No,Yes,Not applicable to me,Not applicable to me,male,Netherlands,Unknown,Netherlands,Unknown,Front-end Developer|Back-end Developer,Sometimes,1
0,1.0,1,0,37,26-100,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.",No,I feel uncomfortable discussing such issues with someone I've just met.,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,No,Not applicable to me,Sometimes,Male,United States of America,Tennessee,United States of America,Tennessee,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always,1
0,1.0,1,0,41,26-100,No,Unknown,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Some did,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Unknown,No,"Don't know, feeling",Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,No,No,Not applicable to me,Not applicable to me,Male,Netherlands,Unknown,Netherlands,Unknown,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes,1
0,1.0,1,0,38,6-25,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No,I don't know,N/A (not currently aware),None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"depends if it is relevant. If it's none of their business, then not.",Maybe,It's a weakness; and you mostly want to talk about your strenghts,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,Not applicable to me,Not applicable to me,F,Netherlands,Unknown,Netherlands,Unknown,Front-end Developer,Never,1
0,1.0,1,0,33,26-100,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Some did,I was aware of some,I don't know,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Companies are more equipped to accommodate physical health issues and it looks bad if they don't. ,No,I don't think companies are able or willing to deal with a mental health issue. I feel like bringing it up Cottle negatively affect the decision to hire me. ,Maybe,Maybe,Neutral,No,No,No,No,No,Not applicable to me,Not applicable to me,Male ,United States of America,Maryland,United States of America,District of Columbia,Front-end Developer,Sometimes,0
